Worker_ID,Name,Gender,DOB,Age,Department,Join_Date,Experience (Years),Shift,Contact_No
W001,Harish M,Male,08/04/2000,25,Cutting,10/21/2021,4,Morning,9342316838
W002,Anitha B,Female,10/13/2003,22,Stitching,10/17/2020,5,Evening,9608562631
W003,Priya M,Female,08/29/1976,49,Packaging,02/11/2020,5.7,Morning,9230254595
W004,Deepa Kumar,Male,08/24/1987,38,Stitching,09/16/2024,1.1,Evening,9140773398
W005,Aravind P,Female,10/05/1984,41,Stitching,01/02/2020,5.8,Evening,9428408702
W006,Lavanya Devi,Male,05/30/2002,23,Stitching,08/09/2020,5.2,Night,9542551832
W007,Suresh P,Male,06/09/2002,23,Packaging,07/11/2023,2.3,Morning,9766661905
W008,Rajesh B,Female,08/25/1990,35,Cutting,08/28/2024,1.1,Evening,9754193710
W009,Rajesh Devi,Male,10/16/1980,45,Cutting,04/06/2024,1.5,Morning,9047122636
W010,Naveen T,Male,05/21/1979,46,Packaging,06/28/2021,4.3,Evening,9917556781
W011,Deepa T,Male,09/01/1996,29,Stitching,05/28/2024,1.4,Night,9500368526
W012,Kaviya S,Female,09/19/1980,45,Stitching,10/30/2020,5,Evening,9761756116
W013,Karthik P,Male,05/06/1977,48,Packaging,05/29/2022,3.4,Morning,9947115179
W014,Vignesh M,Male,09/06/1990,35,Stitching,10/10/2022,3,Night,9939693809
W015,Anitha R,Female,09/12/1980,45,Stitching,04/26/2023,2.5,Evening,9316028341
W016,Kaviya T,Male,09/21/1999,26,Finishing,06/09/2022,3.4,Morning,9325895145
W017,Suresh R,Male,09/15/1979,46,Packaging,02/08/2023,2.7,Evening,9776583034
W018,Harish B,Male,05/16/1998,27,Cutting,07/24/2024,1.2,Morning,9043222256
W019,Lavanya M,Female,04/19/1999,26,Packaging,05/07/2022,3.4,Night,9337258515
W020,Aravind R,Female,09/07/1975,50,Cutting,10/02/2024,1,Night,9508396378
W021,Harish L,Female,06/21/1990,35,Cutting,04/10/2022,3.5,Morning,9632274890
W022,Lavanya R,Male,07/05/1993,32,Cutting,11/22/2024,0.9,Morning,9026222931
W023,Karthik Devi,Female,08/13/1985,40,Cutting,05/12/2023,2.4,Evening,9041778189
W024,Banu Devi,Male,10/12/2002,23,Stitching,02/22/2024,1.6,Evening,9287238823
W025,Kaviya Devi,Female,10/23/1991,34,Cutting,03/09/2022,3.6,Morning,9107521313
W026,Vignesh R,Female,04/28/1980,45,Cutting,04/15/2021,4.5,Evening,9939489570
W027,Saravanan L,Male,06/09/2002,23,Stitching,10/13/2023,2,Morning,9787353155
W028,Murugan L,Male,05/02/2003,22,Packaging,01/15/2021,4.8,Evening,9522519947
W029,Banu R,Female,10/01/1983,42,Stitching,12/27/2022,2.8,Night,9002821688
W030,Sindu P,Female,04/30/1978,47,Packaging,01/12/2024,1.8,Evening,9046078477
W031,Priya M,Female,05/27/1977,48,Stitching,06/30/2024,1.3,Morning,9908268952
W032,Anitha L,Male,07/31/1984,41,Finishing,04/11/2020,5.5,Morning,9324678227
W033,Saravanan P,Male,07/29/1977,48,Stitching,06/24/2021,4.3,Night,9493283438
W034,Karthik S,Male,06/04/1988,37,Cutting,02/08/2022,3.7,Night,9929829924
W035,Lavanya L,Male,08/06/1976,49,Stitching,12/29/2022,2.8,Morning,9799443071
W036,Vignesh T,Male,08/29/1980,45,Cutting,03/19/2022,3.6,Night,9705811947
W037,Naveen M,Female,08/04/1999,26,Packaging,11/02/2020,5,Night,9583358021
